SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1950032700_afl,1950-04-02 00:00:00,-59.94,37.76,-9.670000000000073,53.91,98017.0,22.01,1.0
1950082406_aky,1950-08-26 12:00:00,-7.559999999999945,14.22,-22.680000000000064,15.98,101040.0,11.3,1.0
1951080406_ala,1951-08-04 13:00:00,-84.89999999999998,29.33,-83.265,29.68,99901.66666666669,18.636666666666667,1.0
1951081512_aac,1951-08-15 19:00:00,-77.51999999999998,33.54,-77.36333333333332,34.59166666666667,101199.5,13.411666666666669,1.0
1951101712_aaf,1951-10-19 19:00:00,-53.25999999999999,15.98,-69.91499999999998,19.578333333333333,100608.16666666669,14.638333333333334,1.0
1951101712_aaf,1951-10-23 16:00:00,-53.25999999999999,15.98,-87.12666666666668,20.433333333333334,99839.0,17.05666666666667,1.0
1951101712_aaf,1951-10-28 18:00:00,-53.25999999999999,15.98,-91.57999999999998,29.68,98312.0,24.89,1.0
1951102018_afq,1951-10-23 18:00:00,-81.04000000000002,15.63,-78.93,21.6,100059.0,14.86,1.0
1952081306_alc,1952-08-14 00:00:00,-80.32999999999998,19.84,-82.62,22.83,100794.0,13.46,1.0
1952081306_alc,1952-08-16 15:00:00,-80.32999999999998,19.84,-82.965,29.33,100469.5,12.855,1.0
1952082206_ald,1952-08-24 07:00:00,-78.22000000000003,26.17,-80.50666666666665,27.57,100452.0,14.166666666666668,1.0
1952082206_ald,1952-08-27 20:00:00,-78.22000000000003,26.17,-97.44333333333331,25.576666666666668,98121.33333333331,24.27,1.0
1952082612_afu,1952-09-04 10:00:00,-43.76999999999998,15.63,-53.03000000000001,47.12,97877.66666666669,27.69,1.0
1952091106_alf,1952-09-29 14:00:00,-56.06999999999999,17.74,-8.376666666666702,51.68666666666667,100325.0,13.313333333333334,1.0
1952091518_afv,1952-09-19 22:00:00,-79.63,22.65,-60.75999999999999,45.72,98543.0,18.75333333333333,1.0
1952101712_afw,1952-10-21 12:00:00,-78.57,17.03,-78.57,21.25,98722.0,20.27,1.0
1952102718_aaj,1952-11-01 01:00:00,-74.0,16.33,-75.99333333333335,20.133333333333333,99896.66666666669,14.206666666666669,1.0
1953100518_alj,1953-10-12 07:00:00,-78.57,15.98,-81.27166666666666,22.066666666666663,95927.16666666669,31.683333333333334,1.0
1953100518_alj,1953-10-16 02:00:00,-78.57,15.98,-67.79333333333334,44.55,94837.33333333331,31.0,1.0
1953101706_afx,1953-10-24 00:00:00,-78.22000000000003,13.17,-87.70999999999998,19.84,100221.0,15.78,1.0
1954100506_afy,1954-10-06 23:00:00,-79.98000000000002,18.79,-80.62166666666667,22.125,100218.66666666669,14.291666666666668,1.0
1954100506_afy,1954-10-14 09:00:00,-79.98000000000002,18.79,-58.185,47.765,96681.5,18.775,1.0
1955061306_alk,1955-06-13 07:00:00,-87.36000000000001,19.84,-87.36000000000001,19.95833333333333,100798.5,13.375,1.0
1955061306_alk,1955-06-16 11:00:00,-87.36000000000001,19.84,-97.50166666666668,27.10333333333333,100126.66666666669,16.49,1.0
1955080218_afz,1955-08-08 03:00:00,-70.83999999999997,25.11,-75.58500000000001,37.58,98589.5,23.79,1.0
1956073112_aao,1956-08-14 17:00:00,-34.98000000000002,12.12,-80.32999999999998,32.43166666666667,100296.33333333331,18.343333333333334,1.0
