SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1954091512_aae,1954-09-19 16:00:00,-93.16000000000004,22.81,-81.67666666666668,25.843333333333334,100342.33333333331,15.296666666666669,1.0
1955092418_aaf,1955-09-26 19:00:00,-82.62,17.89,-82.73666666666666,21.4,100297.0,14.263333333333334,1.0
1955092418_aaf,1955-09-29 22:00:00,-82.62,17.89,-92.45999999999998,29.586666666666662,100048.0,14.12,1.0
1957083118_aag,1957-09-08 16:00:00,-93.87,22.81,-87.07333333333332,30.293333333333333,100347.66666666669,12.75,1.0
1961092606_aah,1961-09-28 07:00:00,-84.73000000000002,17.89,-83.20333333333333,22.46,100272.33333333331,12.665,1.0
1963103100_aal,1963-11-04 15:00:00,-77.69999999999999,13.68,-75.85,20.44,100338.5,16.095,1.0
1965083012_aan,1965-08-31 16:00:00,-78.39999999999998,26.32,-77.22666666666667,26.32,100987.33333333331,9.526666666666666,1.0
1975090706_aaw,1975-09-07 09:00:00,-17.230000000000018,15.09,-17.230000000000018,14.74,100648.5,11.82,1.0
1975090706_aaw,1975-09-08 16:00:00,-17.230000000000018,15.09,-24.2566666666667,14.856666666666667,100507.33333333331,15.683333333333334,1.0
1994061806_abl,1994-06-19 12:00:00,-88.94999999999999,27.02,-91.05,29.12,100271.0,13.24,1.0
1994061806_abl,1994-06-21 00:00:00,-88.94999999999999,27.02,-93.16000000000004,29.82,100079.0,11.46,1.0
1998082306_abn,1998-08-25 20:00:00,-79.10000000000002,13.68,-88.94666666666667,17.543333333333333,100672.66666666669,15.473333333333333,1.0
2005061712_abt,2005-06-17 17:00:00,-89.64999999999998,21.4,-88.47500000000001,21.4,99851.0,14.431666666666668,1.0
2005061712_abt,2005-06-23 00:00:00,-89.64999999999998,21.4,-96.68,28.42,98483.0,19.2,1.0
2008060500_aby,2008-06-06 18:00:00,-84.01999999999998,27.02,-85.43,29.82,99589.0,14.61,1.0
2011080812_abz,2011-08-12 12:00:00,-53.79000000000002,13.68,-77.33999999999997,20.0,100601.0,12.96,1.0
2011080812_abz,2011-08-13 06:00:00,-53.79000000000002,13.68,-81.20999999999998,22.11,100711.0,15.94,1.0
2011101000_acb,2011-10-14 18:00:00,-79.10000000000002,15.79,-80.50999999999999,22.11,100052.0,18.31,1.0
