SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1950061612_arf,1950-06-20 12:00:00,-95.5,25.0,-87.5,30.5,98922.0,20.64,1.0
1950070518_azu,1950-07-08 08:00:00,-85.0,26.5,-95.25,29.126666666666665,100961.0,12.473333333333333,1.0
1950071818_bqo,1950-07-21 22:00:00,-85.5,23.5,-97.66666666666669,24.83333333333333,99711.33333333331,18.226666666666667,1.0
1950080100_aac,1950-08-04 10:00:00,-43.0,12.5,-69.83333333333333,18.666666666666668,100946.0,16.043333333333333,1.0
1950082306_arg,1950-08-25 06:00:00,-94.0,21.5,-95.5,29.0,99803.0,19.72,1.0
1950082906_bqp,1950-08-29 07:00:00,-87.0,20.5,-87.16666666666667,20.5,100812.83333333331,11.728333333333332,1.0
1950082906_bqp,1950-09-02 03:00:00,-87.0,20.5,-88.25,30.5,98827.0,19.455,1.0
1950090106_aad,1950-09-02 11:00:00,-80.5,21.0,-80.5,22.125,100747.83333333331,12.313333333333333,1.0
1950090106_aad,1950-09-03 13:00:00,-80.5,21.0,-81.0,25.166666666666668,100274.83333333331,16.425,1.0
1950090106_aad,1950-09-11 05:00:00,-80.5,21.0,-53.583333333333336,46.75,99376.16666666669,21.616666666666667,1.0
1950091218_bqq,1950-09-14 16:00:00,-70.0,20.5,-77.88666666666666,22.05333333333333,100749.66666666669,14.15,1.0
1950091218_bqq,1950-09-18 17:00:00,-70.0,20.5,-83.58333333333333,29.83333333333333,98269.83333333331,21.075,1.0
1950091612_bix,1950-09-17 22:00:00,-19.5,12.5,-24.5,14.833333333333334,100237.66666666669,19.766666666666666,1.0
1950101718_azz,1950-10-20 22:00:00,-76.0,16.0,-78.5,21.166666666666668,98801.66666666669,19.736666666666668,1.0
1950101718_azz,1950-10-21 19:00:00,-76.0,16.0,-77.91666666666667,24.08333333333333,98419.0,20.523333333333333,1.0
1950102718_bqr,1950-10-30 14:00:00,-81.0,12.0,-80.0,21.83333333333333,99632.0,19.133333333333333,1.0
1950102900_baa,1950-11-01 16:00:00,-77.5,15.0,-77.66666666666667,20.666666666666668,98056.0,24.656666666666663,1.0
1950110306_aag,1950-11-11 07:00:00,-81.0,15.0,-73.91666666666667,18.166666666666668,98383.83333333331,23.205,1.0
1951053018_bad,1951-06-03 17:00:00,-72.5,8.5,-83.33333333333333,14.916666666666666,99598.5,19.20833333333333,1.0
1951053018_bad,1951-06-05 17:00:00,-72.5,8.5,-88.91666666666667,16.0,100383.83333333331,18.6,1.0
1951060706_biy,1951-06-16 02:00:00,-71.5,26.0,-60.833333333333336,45.66666666666666,99483.66666666669,18.516666666666666,1.0
1951060706_biy,1951-06-16 23:00:00,-71.5,26.0,-56.91666666666666,51.66666666666666,100918.16666666669,14.28,1.0
1951062918_bqs,1951-07-01 20:00:00,-92.0,19.5,-97.66666666666669,24.166666666666668,100349.66666666669,20.356666666666666,1.0
1951071318_bae,1951-07-13 22:00:00,-82.0,26.0,-82.33333333333333,27.0,100700.66666666669,13.75,1.0
1951071318_bae,1951-07-15 11:00:00,-82.0,26.0,-83.08333333333333,29.416666666666668,100129.83333333331,16.071666666666665,1.0
1951072206_arl,1951-07-23 01:00:00,-84.5,29.5,-84.5,30.08333333333333,100558.33333333331,14.79,1.0
1951080118_arm,1951-08-03 00:00:00,-91.5,27.0,-97.5,27.0,100619.0,13.18,1.0
1951080212_arn,1951-08-03 02:00:00,-79.0,29.0,-80.5,28.5,101182.66666666669,14.36,1.0
1951080212_arn,1951-08-07 11:00:00,-79.0,29.0,-93.41666666666669,29.83333333333333,96887.0,27.718333333333334,1.0
