SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1979070918_aab,1979-07-13 12:00:00,-35.0,8.5,-60.0,9.0,101151.0,21.89,0.0
1979082806_aae,1979-09-04 06:00:00,-19.5,10.0,-64.5,18.0,100582.0,25.41,0.0
1979090406_aaf,1979-09-15 12:00:00,-19.0,13.5,-30.5,45.5,100048.0,21.21,0.0
1979092200_aah,1979-09-28 12:00:00,-22.0,8.0,-48.5,15.5,101097.0,17.31,0.0
1980081206_aaj,1980-08-15 18:00:00,-21.0,11.5,-37.0,28.0,101338.0,16.75,0.0
1980090900_aak,1980-09-20 12:00:00,-29.5,13.0,-37.5,48.5,99722.0,19.48,0.0
1980092012_aal,1980-09-24 12:00:00,-76.0,15.0,-94.5,19.0,100113.0,16.44,0.0
1981081600_aam,1981-08-23 12:00:00,-82.0,22.0,-41.0,40.0,98976.0,28.25,0.0
1981082212_aan,1981-08-25 18:00:00,-36.0,10.5,-56.0,13.0,100944.0,19.41,0.0
1981083112_aao,1981-09-10 18:00:00,-72.5,30.0,-45.0,42.5,100490.0,15.45,0.0
1981091106_aap,1981-09-13 12:00:00,-73.5,27.5,-57.0,37.0,100755.0,19.84,0.0
1981091306_aaq,1981-09-19 06:00:00,-59.0,20.5,-40.0,38.5,100564.0,20.45,0.0
1981092000_aar,1981-10-03 00:00:00,-28.0,10.0,-11.5,43.5,99302.0,24.6,0.0
1981092400_aas,1981-09-28 06:00:00,-32.0,7.5,-43.0,14.5,100864.0,14.39,0.0
1981110318_aat,1981-11-06 18:00:00,-82.0,18.0,-75.5,23.5,100378.0,19.17,0.0
1981111406_aau,1981-11-18 06:00:00,-70.5,34.0,-60.0,47.5,99949.0,13.99,0.0
1982061706_aav,1982-06-24 00:00:00,-89.5,22.5,-25.0,49.0,99199.0,17.42,0.0
1982082706_aaw,1982-09-02 12:00:00,-19.5,12.0,-45.0,19.5,100835.0,18.79,0.0
1982091412_aax,1982-09-20 06:00:00,-72.0,23.5,-34.0,50.5,99190.0,21.81,0.0
1982101118_aay,1982-10-15 12:00:00,-60.0,35.5,-29.5,46.5,97381.0,28.59,0.0
1983072718_aaz,1983-07-30 12:00:00,-35.0,10.0,-46.5,15.0,101182.0,14.14,0.0
1984082912_aba,1984-09-03 12:00:00,-35.5,9.0,-51.0,26.5,101098.0,22.99,0.0
1984090106_abb,1984-09-04 12:00:00,-32.0,7.5,-58.0,12.5,101213.0,18.36,0.0
1984090912_abc,1984-09-16 06:00:00,-79.5,29.5,-59.0,45.5,99537.0,24.55,0.0
1984091018_abd,1984-09-14 18:00:00,-24.5,8.0,-53.0,14.5,100843.0,21.56,0.0
1984091512_abe,1984-09-18 12:00:00,-21.0,13.0,-31.0,20.5,101066.0,19.17,0.0
1984092506_abf,1984-10-01 06:00:00,-70.5,22.0,-64.5,37.5,100839.0,21.58,0.0
1984092618_abg,1984-09-30 12:00:00,-60.5,31.5,-72.5,34.0,100642.0,17.66,0.0
1984100812_abh,1984-10-19 18:00:00,-71.0,24.5,-53.5,40.5,99542.0,18.0,0.0
1984110506_abi,1984-11-13 18:00:00,-68.0,13.5,-47.0,41.5,99073.0,23.11,0.0
1984121712_abj,1984-12-23 12:00:00,-49.5,30.0,-61.0,22.0,100808.0,18.41,0.0
1985071518_abk,1985-07-21 00:00:00,-64.0,28.5,-36.5,52.0,99607.0,16.29,0.0
