SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1950062406_aaa,1950-06-30 06:00:00,-61.5,17.23,-54.0,40.69,99422.0,18.59,0.0
1950072806_aab,1950-08-06 18:00:00,-59.5,30.71,-47.5,53.68,98392.0,22.5,0.0
1950081000_aac,1950-08-24 00:00:00,-64.5,30.71,-52.5,55.67,100204.0,17.87,0.0
1950082400_aad,1950-08-28 06:00:00,-18.5,12.73,-36.5,16.23,100860.0,15.34,0.0
1950090200_aae,1950-09-15 00:00:00,-23.5,11.73,-12.0,49.18,98548.0,23.26,0.0
1950090606_aaf,1950-09-14 12:00:00,-28.0,34.7,-7.0,74.65,97278.0,28.89,0.0
1950091818_aag,1950-09-24 18:00:00,-70.0,26.21,-25.0,45.69,100089.0,15.71,0.0
1950100306_aah,1950-10-08 18:00:00,-83.5,17.23,-58.5,45.69,99549.0,21.69,0.0
1950102706_aai,1950-10-31 06:00:00,-87.0,19.72,-96.5,23.72,100650.0,13.42,0.0
1951060712_aak,1951-06-11 00:00:00,-31.5,31.21,-52.5,33.7,100980.0,15.09,0.0
1951072912_aam,1951-08-02 06:00:00,-66.5,32.7,-51.0,48.68,100083.0,19.01,0.0
1951080518_aan,1951-08-14 06:00:00,-24.0,9.24,-64.0,23.72,100705.0,15.25,0.0
1951080706_aao,1951-08-26 06:00:00,-60.5,27.71,-22.0,50.68,97231.0,25.57,0.0
1951080800_aap,1951-08-13 06:00:00,-19.0,11.23,-42.5,23.22,101262.0,13.34,0.0
1951081612_aaq,1951-08-27 12:00:00,-48.5,16.23,-58.5,55.17,98803.0,12.54,0.0
1951083018_aas,1951-09-08 00:00:00,-20.5,12.23,-26.5,39.69,101502.0,12.45,0.0
1951091506_aat,1951-10-03 18:00:00,-20.0,9.74,-42.0,54.67,98817.0,24.12,0.0
1951101612_aav,1951-11-03 12:00:00,-49.5,30.21,-11.5,30.71,100577.0,15.75,0.0
1952071212_aax,1952-07-18 18:00:00,-79.5,32.7,-58.0,62.66,99727.0,12.21,0.0
1952072012_aaz,1952-07-24 06:00:00,-26.0,15.23,-33.5,23.72,101198.0,12.42,0.0
1952072300_aba,1952-07-29 06:00:00,-73.0,21.22,-54.5,50.68,99877.0,17.24,0.0
1952082018_abc,1952-08-25 06:00:00,-31.5,37.2,-43.0,37.7,101076.0,14.38,0.0
1952082300_abd,1952-09-10 00:00:00,-6.5,13.23,-30.5,50.18,98898.0,17.4,0.0
1952082306_abe,1952-08-26 18:00:00,-80.0,24.22,-72.5,40.19,100205.0,17.75,0.0
1952091412_abg,1952-09-20 12:00:00,-56.0,26.71,-11.0,44.19,97805.0,29.41,0.0
1952091718_abh,1952-10-03 12:00:00,-27.0,14.73,-37.5,49.68,98145.0,20.62,0.0
1952091812_abi,1952-09-24 06:00:00,-53.0,23.72,-42.0,47.68,97549.0,25.03,0.0
1952111612_abm,1952-11-21 18:00:00,-58.0,21.72,-59.5,40.69,99106.0,24.13,0.0
1953011118_abn,1953-01-17 06:00:00,-38.0,26.71,-67.0,28.21,99606.0,16.09,0.0
1953072112_abo,1953-07-27 00:00:00,-69.5,27.21,-56.0,36.7,100850.0,16.51,0.0
1953082218_abq,1953-09-07 06:00:00,-71.0,35.2,-18.0,48.18,99828.0,17.78,0.0
1953082506_abr,1953-08-29 06:00:00,-22.0,10.74,-35.5,19.72,100506.0,18.24,0.0
1953091118_abs,1953-09-17 00:00:00,-34.5,9.74,-42.5,18.22,100888.0,12.9,0.0
1953092312_abu,1953-10-02 18:00:00,-18.5,25.71,4.5,39.2,99849.0,18.18,0.0
1953101812_abv,1953-10-29 12:00:00,-41.0,16.23,-30.5,41.19,100391.0,14.31,0.0
1953110306_abw,1953-11-14 06:00:00,-50.0,22.72,-34.0,40.69,99393.0,20.34,0.0
1953111718_abx,1953-11-21 18:00:00,-40.5,40.69,-10.0,33.2,100775.0,13.97,0.0
1954053012_aby,1954-06-14 06:00:00,-59.0,25.21,-64.5,44.19,99247.0,20.15,0.0
1954071206_abz,1954-07-24 12:00:00,-76.5,29.21,-11.5,61.66,100773.0,14.07,0.0
1954080512_aca,1954-08-17 00:00:00,-78.5,26.21,-46.0,37.2,101703.0,12.64,0.0
