SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1950062200_aaa,1950-06-29 06:00:00,-71.72000000000003,27.31,-56.25,38.52,100003.0,12.48,0.0
1950072212_aab,1950-07-25 06:00:00,-77.33999999999997,25.91,-63.27999999999997,41.32,100374.0,18.11,0.0
1950081512_aac,1950-08-29 06:00:00,-25.309999999999945,11.91,-40.77999999999997,37.12,99892.0,18.08,0.0
1950081800_aad,1950-08-22 06:00:00,-19.69000000000005,14.71,-29.529999999999973,16.11,100886.0,12.48,0.0
1951072018_aaf,1951-07-26 12:00:00,-29.529999999999973,9.1,-53.44,14.71,100871.0,14.61,0.0
1951072712_aag,1951-07-30 18:00:00,-80.16000000000003,25.91,-73.12,38.52,100261.0,14.22,0.0
1951090906_aah,1951-09-13 18:00:00,-42.19,13.31,-52.02999999999997,25.91,100686.0,14.69,0.0
1951100412_aai,1951-10-17 06:00:00,-80.16000000000003,18.91,-97.02999999999996,23.11,100287.0,16.29,0.0
1951102106_aaj,1951-10-24 18:00:00,-63.27999999999997,20.31,-52.02999999999997,32.92,99963.0,17.54,0.0
1953073018_aak,1953-08-04 18:00:00,-59.06,18.91,-49.22000000000003,38.52,99749.0,15.28,0.0
1953081006_aal,1953-08-14 18:00:00,-74.52999999999997,28.72,-64.69,42.72,99476.0,21.64,0.0
1953090118_aam,1953-09-04 18:00:00,-70.31,25.91,-53.44,39.92,98739.0,23.1,0.0
1954082312_aan,1954-08-28 06:00:00,-49.22000000000003,32.92,-39.38,44.12,101497.0,14.64,0.0
1954102412_aao,1954-10-30 12:00:00,-80.16000000000003,13.31,-78.75,28.72,100266.0,17.43,0.0
1955072718_aap,1955-07-30 06:00:00,-64.69,30.12,-53.44,35.72,100431.0,15.9,0.0
1955080512_aaq,1955-08-08 18:00:00,-78.75,31.52,-60.47000000000003,41.32,99949.0,19.08,0.0
1957081706_aas,1957-08-21 18:00:00,-77.33999999999997,28.72,-53.44,51.13,98654.0,19.88,0.0
1957101400_aat,1957-10-20 18:00:00,-50.620000000000005,21.71,-50.620000000000005,45.52,99107.0,20.28,0.0
1957102000_aau,1957-10-24 18:00:00,-33.75,20.31,-45.0,32.92,100969.0,14.26,0.0
1958072318_aav,1958-07-28 12:00:00,-71.72000000000003,30.12,-70.31,39.92,99760.0,20.08,0.0
1958072506_aaw,1958-07-28 06:00:00,-57.660000000000025,21.71,-35.160000000000025,41.32,100151.0,21.82,0.0
1958080300_aax,1958-08-05 12:00:00,-73.12,37.12,-50.620000000000005,38.52,100431.0,19.54,0.0
1958100518_aay,1958-10-10 06:00:00,-74.52999999999997,27.31,-67.5,59.53,97508.0,19.03,0.0
1958110512_aaz,1958-11-11 00:00:00,-82.97000000000003,17.51,-67.5,38.52,97921.0,23.81,0.0
1959100818_aba,1959-10-12 18:00:00,-36.56,25.91,-33.75,45.52,98316.0,22.34,0.0
1961071712_abb,1961-07-20 18:00:00,-70.31,27.31,-56.25,39.92,99404.0,21.39,0.0
1961072912_abc,1961-08-03 00:00:00,-46.410000000000025,18.91,-54.839999999999975,38.52,101286.0,16.23,0.0
1961090806_abd,1961-09-13 00:00:00,-23.91000000000008,13.31,-35.160000000000025,24.51,101480.0,8.71,0.0
1962070912_abf,1962-07-12 12:00:00,-30.94,7.7,-40.77999999999997,16.11,101192.0,13.93,0.0
1962080506_abg,1962-08-09 18:00:00,-59.06,25.91,-53.44,44.12,99403.0,21.26,0.0
1962091000_abh,1962-09-15 00:00:00,-19.69000000000005,11.91,-39.38,16.11,101099.0,12.09,0.0
1962091912_abi,1962-09-23 12:00:00,-18.279999999999973,10.51,-37.97000000000003,20.31,101048.0,15.29,0.0
1962111700_abj,1962-11-22 06:00:00,-63.27999999999997,18.91,-47.81,28.72,98254.0,22.78,0.0
1962120406_abk,1962-12-10 06:00:00,-47.81,30.12,-47.81,56.73,98236.0,27.62,0.0
1965062100_abl,1965-06-26 18:00:00,-74.52999999999997,25.91,-42.19,48.33,99851.0,17.2,0.0
1965073006_abm,1965-08-03 06:00:00,-68.91000000000003,23.11,-40.77999999999997,41.32,100070.0,20.48,0.0
1965073100_abn,1965-08-09 18:00:00,-21.08999999999992,11.91,-50.620000000000005,44.12,99824.0,19.34,0.0
1965101100_abo,1965-10-15 06:00:00,-80.16000000000003,28.72,-66.08999999999997,28.72,100320.0,21.16,0.0
1966061506_abp,1966-06-20 12:00:00,-84.38,18.91,-61.88,39.92,100076.0,18.59,0.0
1966070800_abq,1966-07-12 12:00:00,-71.72000000000003,28.72,-70.31,41.32,100824.0,14.79,0.0
1966080200_abr,1966-08-09 00:00:00,-28.120000000000005,9.1,-54.839999999999975,32.92,100425.0,17.63,0.0
1966081118_abs,1966-08-14 18:00:00,-75.94,27.31,-70.31,38.52,100090.0,18.37,0.0
1966081312_abt,1966-08-19 18:00:00,-60.47000000000003,20.31,-52.02999999999997,34.32,100553.0,15.1,0.0
1966083000_abu,1966-09-01 18:00:00,-66.08999999999997,25.91,-59.06,37.12,99859.0,21.74,0.0
1967062212_abv,1967-07-02 00:00:00,-94.22000000000004,20.31,-63.27999999999997,38.52,99372.0,20.84,0.0
1967072318_abw,1967-07-29 12:00:00,-73.12,21.71,-60.47000000000003,39.92,100444.0,18.24,0.0
1969092006_abz,1969-09-25 18:00:00,-78.75,31.52,-50.620000000000005,30.12,100570.0,16.11,0.0
1970081812_acb,1970-08-22 18:00:00,-59.06,25.91,-37.97000000000003,46.93,98981.0,20.18,0.0
1970101112_acd,1970-10-15 00:00:00,-94.22000000000004,21.71,-78.75,31.52,100670.0,14.9,0.0
1971061400_ace,1971-06-21 06:00:00,-67.5,27.31,-50.620000000000005,34.32,99362.0,20.21,0.0
1971072306_acf,1971-08-03 18:00:00,-74.52999999999997,27.31,-42.19,48.33,99107.0,22.8,0.0
1971081112_acg,1971-08-25 18:00:00,-52.02999999999997,14.71,-12.660000000000082,49.73,99131.0,19.26,0.0
1971081312_ach,1971-08-20 00:00:00,-87.19,25.91,-74.52999999999997,32.92,100256.0,13.54,0.0
1971082100_aci,1971-08-28 18:00:00,-66.08999999999997,21.71,-59.06,35.72,98832.0,19.75,0.0
1973091512_ack,1973-09-20 00:00:00,-43.589999999999975,10.51,-50.620000000000005,20.31,100393.0,14.95,0.0
1973092106_acl,1973-09-25 12:00:00,-52.02999999999997,23.11,-42.19,37.12,99932.0,17.19,0.0
1973092700_acm,1973-10-02 00:00:00,-68.91000000000003,35.72,-54.839999999999975,38.52,99689.0,17.08,0.0
1973101012_acn,1973-10-19 06:00:00,-66.08999999999997,35.72,-56.25,42.72,97789.0,25.63,0.0
1974061300_aco,1974-06-17 00:00:00,-77.33999999999997,32.92,-60.47000000000003,31.52,100863.0,12.09,0.0
1974082100_acp,1974-08-25 12:00:00,-61.88,21.71,-57.660000000000025,34.32,99584.0,21.6,0.0
1974092006_acq,1974-09-24 00:00:00,-63.27999999999997,24.51,-63.27999999999997,32.92,99828.0,18.66,0.0
1974092712_acr,1974-10-03 00:00:00,-53.44,31.52,-33.75,46.93,98633.0,26.21,0.0
1974112800_acs,1974-12-02 00:00:00,-57.660000000000025,28.72,-45.0,41.32,99532.0,15.15,0.0
1975081618_act,1975-08-20 00:00:00,-18.279999999999973,13.31,-28.120000000000005,20.31,101212.0,13.57,0.0
1977071206_acu,1977-07-17 12:00:00,-78.75,34.32,-61.88,39.92,100266.0,16.48,0.0
1977081706_acv,1977-08-20 12:00:00,-74.52999999999997,25.91,-70.31,42.72,99547.0,20.72,0.0
1977092600_acw,1977-09-30 18:00:00,-59.06,30.12,-52.02999999999997,35.72,99389.0,17.02,0.0
1978092012_acx,1978-09-26 18:00:00,-63.27999999999997,23.11,-54.839999999999975,44.12,98892.0,23.32,0.0
1979090412_acy,1979-09-09 12:00:00,-21.08999999999992,9.1,-37.97000000000003,23.11,100517.0,18.31,0.0
1982082206_acz,1982-08-26 06:00:00,-78.75,30.12,-61.88,35.72,101056.0,11.41,0.0
1983090100_ada,1983-09-03 06:00:00,-23.91000000000008,13.31,-33.75,14.71,101019.0,11.68,0.0
1985070518_adb,1985-07-11 12:00:00,-66.08999999999997,24.51,-70.31,35.72,100583.0,14.88,0.0
1985082006_add,1985-08-27 00:00:00,-52.02999999999997,23.11,-67.5,39.92,98844.0,20.29,0.0
1985082300_ade,1985-09-02 12:00:00,-33.75,13.31,-61.88,42.72,100104.0,20.96,0.0
1985111212_adf,1985-11-15 06:00:00,-40.77999999999997,24.51,-43.589999999999975,32.92,100444.0,15.13,0.0
1986080606_adg,1986-08-09 12:00:00,-21.08999999999992,11.91,-35.160000000000025,16.11,101453.0,12.53,0.0
1986081818_adh,1986-08-21 00:00:00,-56.25,28.72,-49.22000000000003,34.32,101216.0,15.23,0.0
1986082206_adi,1986-08-25 00:00:00,-19.69000000000005,13.31,-33.75,17.51,101106.0,13.69,0.0
1986082912_adj,1986-09-03 12:00:00,-45.0,27.31,-54.839999999999975,38.52,101273.0,13.38,0.0
1987072418_adk,1987-07-28 12:00:00,-28.120000000000005,11.91,-43.589999999999975,18.91,101089.0,16.62,0.0
1987081900_adm,1987-08-30 12:00:00,-45.0,10.51,-59.06,58.13,98843.0,19.26,0.0
1987082706_adn,1987-08-31 06:00:00,-18.279999999999973,11.91,-26.720000000000027,14.71,100570.0,12.94,0.0
1987090600_ado,1987-09-13 18:00:00,-21.08999999999992,11.91,-53.44,30.12,101138.0,15.17,0.0
1989072412_adp,1989-07-27 06:00:00,-60.47000000000003,24.51,-50.620000000000005,35.72,100397.0,16.38,0.0
1989080812_adq,1989-08-12 00:00:00,-61.88,37.12,-47.81,37.12,101493.0,11.94,0.0
1989101800_adr,1989-10-22 12:00:00,-35.160000000000025,25.91,-49.22000000000003,27.31,101292.0,12.52,0.0
1990100418_adt,1990-10-17 12:00:00,-45.0,10.51,-67.5,14.71,100518.0,13.53,0.0
1990101912_adu,1990-10-27 00:00:00,-70.31,16.11,-56.25,31.52,100117.0,17.83,0.0
1991072812_adv,1991-07-31 18:00:00,-85.77999999999997,27.31,-61.88,42.72,99646.0,23.05,0.0
1991090706_adw,1991-09-13 06:00:00,-56.25,20.31,-56.25,42.72,98149.0,28.46,0.0
1993060400_adx,1993-06-18 12:00:00,-88.58999999999997,23.11,-46.410000000000025,35.72,100620.0,12.91,0.0
1993080812_ady,1993-08-12 00:00:00,-75.94,25.91,-77.33999999999997,34.32,100436.0,16.82,0.0
1993091918_adz,1993-09-24 00:00:00,-92.81,28.72,-84.38,25.91,100232.0,17.23,0.0
1994082206_aea,1994-08-25 12:00:00,-63.27999999999997,31.52,-56.25,41.32,100421.0,16.84,0.0
1994091500_aeb,1994-09-18 12:00:00,-30.94,10.51,-36.56,17.51,101131.0,13.21,0.0
1994091800_aec,1994-09-26 00:00:00,-54.839999999999975,27.31,-19.69000000000005,48.33,99311.0,21.24,0.0
1995051906_aed,1995-05-23 12:00:00,-15.470000000000027,6.3,-29.529999999999973,11.91,100812.0,13.48,0.0
1995072712_aee,1995-07-30 06:00:00,-56.25,17.51,-54.839999999999975,28.72,100555.0,16.47,0.0
1995110318_aef,1995-11-08 00:00:00,-47.81,25.91,-59.06,34.32,99788.0,17.68,0.0
1995110506_aeg,1995-11-09 12:00:00,-85.77999999999997,17.51,-66.08999999999997,34.32,99060.0,23.58,0.0
1997100718_aeh,1997-10-10 18:00:00,-73.12,17.51,-66.08999999999997,24.51,99681.0,18.8,0.0
1997122700_aei,1997-12-30 06:00:00,-49.22000000000003,24.51,-46.410000000000025,35.72,99238.0,18.22,0.0
1998080900_aej,1998-08-11 06:00:00,-64.69,28.72,-47.81,39.92,100413.0,22.08,0.0
1999061200_aek,1999-06-17 12:00:00,-82.97000000000003,25.91,-63.27999999999997,38.52,100526.0,21.41,0.0
1999061406_ael,1999-06-17 06:00:00,-16.879999999999995,7.7,-26.720000000000027,13.31,100895.0,12.19,0.0
1999072518_aen,1999-07-30 06:00:00,-80.16000000000003,25.91,-64.69,38.52,99702.0,20.77,0.0
1999091312_aep,1999-09-20 00:00:00,-18.279999999999973,11.91,-32.339999999999975,25.91,101060.0,12.81,0.0
1999091906_aeq,1999-09-22 12:00:00,-16.879999999999995,14.71,-26.720000000000027,18.91,100958.0,10.76,0.0
