SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1950081112_afm,1950-08-14 12:00:00,-74.36000000000001,31.79,-56.43000000000001,38.46,100610.0,18.18,0.0
1950082406_aky,1950-09-10 12:00:00,-7.559999999999945,14.22,-26.539999999999964,55.67,99545.0,18.25,0.0
1950091106_afn,1950-09-18 00:00:00,-55.370000000000005,29.33,-31.110000000000014,48.64,100632.0,16.24,0.0
1950100112_aaa,1950-10-04 12:00:00,-56.77999999999997,27.92,-49.75,46.19,101041.0,14.93,0.0
1951010418_akz,1951-01-08 12:00:00,-33.56999999999999,36.7,-14.940000000000056,32.49,100401.0,14.23,0.0
1951052406_aab,1951-05-29 00:00:00,-79.98000000000002,27.57,-50.44999999999999,45.13,99382.0,16.89,0.0
1951080406_ala,1951-08-08 00:00:00,-84.89999999999998,29.33,-49.04000000000002,48.29,98187.0,22.47,0.0
1951081512_aac,1951-08-21 18:00:00,-77.51999999999998,33.54,-66.62,34.6,101012.0,13.13,0.0
1951091006_afo,1951-09-24 18:00:00,-20.920000000000076,13.52,-39.55000000000001,48.29,97485.0,24.76,0.0
1951091900_aad,1951-09-23 00:00:00,-21.970000000000027,14.93,-40.610000000000014,19.49,100851.0,17.55,0.0
1951093000_aae,1951-10-10 18:00:00,-20.569999999999936,10.71,-41.660000000000025,41.27,100461.0,19.56,0.0
1951100700_afp,1951-10-12 00:00:00,-32.51999999999998,11.41,-34.98000000000002,21.6,100915.0,12.28,0.0
1951101000_alb,1951-10-16 00:00:00,-60.29000000000002,29.33,-39.89999999999998,51.45,98752.0,23.84,0.0
1951102018_afq,1951-10-25 12:00:00,-81.04000000000002,15.63,-71.88999999999999,29.68,100362.0,21.36,0.0
1952080612_afr,1952-08-12 06:00:00,-62.39999999999998,34.24,-23.379999999999995,51.8,99359.0,17.07,0.0
1952080712_aag,1952-08-12 18:00:00,-45.88,31.08,-47.63999999999999,44.78,100684.0,14.6,0.0
1952081306_alc,1952-08-17 12:00:00,-80.32999999999998,19.84,-78.57,33.19,100544.0,16.67,0.0
1952081412_afs,1952-08-18 18:00:00,-78.22000000000003,28.98,-66.62,33.54,100942.0,12.51,0.0
