SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1950090506_aaa,1950-09-13 18:00:00,-70.66000000000003,23.51,-66.44999999999999,43.16,100414.0,13.09,0.0
1952090606_aab,1952-09-12 00:00:00,-25.66000000000008,12.28,-50.98000000000002,24.21,100983.0,10.25,0.0
1953090618_aac,1953-09-09 12:00:00,-14.410000000000082,14.39,-30.58999999999997,17.89,100733.0,17.6,0.0
1953091206_aad,1953-09-18 12:00:00,-41.839999999999975,25.61,-38.31999999999999,38.95,99706.0,19.83,0.0
1957083118_aag,1957-09-10 12:00:00,-93.87,22.81,-75.58999999999997,35.44,100072.0,18.45,0.0
1961092606_aah,1961-09-28 18:00:00,-84.73000000000002,17.89,-81.91000000000003,25.61,100101.0,15.42,0.0
1962090112_aai,1962-09-04 00:00:00,-15.120000000000005,17.19,-29.879999999999995,19.3,101295.0,11.68,0.0
1963042506_aaj,1963-04-27 18:00:00,-74.88,31.93,-56.60000000000002,39.65,99039.0,19.92,0.0
1963082918_aak,1963-09-04 00:00:00,-62.23000000000002,22.81,-56.60000000000002,40.35,100490.0,15.11,0.0
1963103100_aal,1963-11-05 18:00:00,-77.69999999999999,13.68,-76.29000000000002,24.91,100315.0,19.87,0.0
1964070318_aam,1964-07-10 18:00:00,-63.63,28.42,-50.26999999999998,39.65,100166.0,18.22,0.0
1965083012_aan,1965-09-03 06:00:00,-78.39999999999998,26.32,-67.14999999999998,31.23,100402.0,14.2,0.0
1966092512_aao,1966-09-29 18:00:00,-61.51999999999998,30.53,-34.10000000000002,50.18,99508.0,16.54,0.0
1970091618_aap,1970-09-19 18:00:00,-62.93000000000001,33.33,-56.60000000000002,39.65,100640.0,12.11,0.0
1970091906_aaq,1970-09-24 00:00:00,-46.05000000000001,12.98,-57.30000000000001,24.91,100270.0,20.75,0.0
1972041912_aar,1972-04-25 06:00:00,-77.69999999999999,29.12,-62.23000000000002,40.35,99400.0,16.32,0.0
1972102500_aas,1972-10-28 00:00:00,-43.94999999999999,37.54,-31.29000000000002,36.84,98890.0,21.74,0.0
1975081212_aat,1975-08-15 06:00:00,-48.870000000000005,27.02,-38.31999999999999,38.25,101118.0,13.32,0.0
1975082100_aau,1975-08-24 06:00:00,-15.120000000000005,19.3,-28.480000000000015,23.51,101155.0,13.05,0.0
1975090306_aav,1975-09-10 00:00:00,-62.93000000000001,17.89,-79.10000000000002,33.33,100684.0,12.32,0.0
