SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1950050312_are,1950-05-08 00:00:00,-13.0,4.0,-26.0,9.0,101261.0,12.82,0.0
1950050600_aaa,1950-05-12 12:00:00,-9.0,4.5,-34.0,9.0,101156.0,14.73,0.0
1950061612_arf,1950-06-23 12:00:00,-95.5,25.0,-74.5,36.0,101228.0,12.86,0.0
1950061806_bqk,1950-06-20 18:00:00,-50.5,30.0,-45.0,37.0,101320.0,15.64,0.0
1950062912_bql,1950-07-09 12:00:00,-75.5,26.5,-52.5,46.5,100429.0,13.17,0.0
1950070206_bqm,1950-07-06 18:00:00,-59.5,37.0,-34.5,40.0,100381.0,16.27,0.0
1950070300_aab,1950-07-09 06:00:00,-31.5,11.0,-51.0,15.5,100928.0,13.91,0.0
1950071006_bqn,1950-07-12 12:00:00,-62.5,33.5,-47.5,38.5,101452.0,15.56,0.0
1950080100_aac,1950-08-10 00:00:00,-43.0,12.5,-57.0,46.5,99702.0,20.71,0.0
1950080612_azv,1950-08-10 18:00:00,-1.5,16.5,-24.5,25.5,101150.0,13.74,0.0
1950081512_azw,1950-08-27 18:00:00,-61.5,35.0,-24.0,54.0,100911.0,13.7,0.0
1950081600_azx,1950-08-20 00:00:00,-68.0,32.0,-58.5,46.0,100409.0,14.51,0.0
1950082518_biv,1950-08-31 18:00:00,-4.0,15.5,-39.5,23.0,101076.0,12.3,0.0
1950082612_azy,1950-09-06 18:00:00,-29.5,13.0,-29.0,46.5,99105.0,21.54,0.0
1950090106_aad,1950-09-11 18:00:00,-80.5,21.0,-45.0,47.0,100160.0,17.44,0.0
1950090312_arh,1950-09-10 12:00:00,-58.0,31.5,-38.0,36.5,100634.0,13.95,0.0
1950090418_biw,1950-09-14 00:00:00,-74.0,33.5,-10.5,62.5,98544.0,18.09,0.0
1950090600_ari,1950-09-09 00:00:00,-25.0,13.5,-36.0,20.0,101140.0,11.78,0.0
1950090812_aae,1950-09-11 12:00:00,-32.5,11.0,-42.5,14.5,100890.0,14.79,0.0
1950090912_arj,1950-10-02 12:00:00,-19.5,13.5,-18.0,34.5,100090.0,20.36,0.0
1950091612_bix,1950-10-01 12:00:00,-19.5,12.5,-29.0,43.0,99856.0,16.28,0.0
1950091712_aaf,1950-09-22 06:00:00,-20.0,12.0,-47.0,14.5,100658.0,14.34,0.0
1950100212_ark,1950-10-08 12:00:00,-82.5,11.0,-85.5,21.0,100249.0,14.04,0.0
1950101718_azz,1950-10-31 18:00:00,-76.0,16.0,-24.5,43.0,98584.0,17.22,0.0
1950102718_bqr,1950-11-02 06:00:00,-81.0,12.0,-72.5,31.5,99830.0,22.53,0.0
1950102900_baa,1950-11-04 00:00:00,-77.5,15.0,-56.0,32.0,98958.0,27.26,0.0
1950110306_aag,1950-11-15 18:00:00,-81.0,15.0,-64.0,23.0,99918.0,13.35,0.0
1950110512_aah,1950-11-11 18:00:00,-26.5,30.0,-30.0,43.0,99468.0,16.03,0.0
1950112718_bab,1950-12-04 00:00:00,-41.0,30.5,-28.0,53.0,99870.0,21.5,0.0
1950121618_bac,1950-12-19 06:00:00,-41.5,34.0,-28.0,35.5,99612.0,17.51,0.0
1951053018_bad,1951-06-08 12:00:00,-72.5,8.5,-96.5,15.5,100439.0,17.26,0.0
1951060706_biy,1951-06-17 06:00:00,-71.5,26.0,-55.5,53.5,101094.0,13.85,0.0
1951071318_bae,1951-07-19 06:00:00,-82.0,26.0,-66.5,43.0,101494.0,10.31,0.0
1951072000_aai,1951-08-08 12:00:00,-23.5,13.5,-27.5,66.0,97407.0,19.4,0.0
1951072206_aaj,1951-07-24 18:00:00,-15.0,10.0,-21.5,16.5,100748.0,12.41,0.0
1951072400_biz,1951-07-27 06:00:00,-26.5,12.5,-37.5,17.0,100820.0,11.91,0.0
1951080306_bja,1951-08-14 18:00:00,-7.0,14.0,-30.5,52.0,99507.0,19.96,0.0
1951081106_aak,1951-08-14 12:00:00,-43.5,10.5,-66.5,15.5,100852.0,18.05,0.0
1951081318_aro,1951-08-28 12:00:00,-9.0,17.0,-17.0,51.5,100116.0,18.8,0.0
1951081706_aal,1951-09-01 06:00:00,-19.0,15.5,-28.5,53.0,98688.0,21.25,0.0
1951081718_arp,1951-09-05 06:00:00,-58.0,19.0,-33.5,48.5,101319.0,11.45,0.0
1951081818_aam,1951-08-22 18:00:00,-54.0,35.0,-38.5,42.5,101373.0,16.62,0.0
1951083006_bjc,1951-09-02 06:00:00,-23.5,16.0,-38.0,17.5,100731.0,12.77,0.0
1951083012_bag,1951-09-16 12:00:00,-5.5,15.0,-10.0,55.5,100272.0,16.77,0.0
1951090118_aan,1951-09-07 06:00:00,-55.0,30.5,-41.5,50.0,99390.0,20.83,0.0
1951090706_arq,1951-09-11 00:00:00,-39.0,31.0,-40.5,45.5,99729.0,20.03,0.0
1951091106_arr,1951-10-01 12:00:00,-17.5,12.5,-34.5,51.0,96456.0,28.0,0.0
1951091300_aao,1951-09-18 00:00:00,-20.0,13.0,-39.5,25.5,100945.0,16.15,0.0
1951091406_ars,1951-09-19 12:00:00,-16.5,11.5,-35.5,18.5,100141.0,19.22,0.0
1951091618_aap,1951-09-29 00:00:00,-14.0,10.0,-64.0,33.5,100831.0,15.31,0.0
1951091706_art,1951-09-23 12:00:00,-9.0,13.0,-34.5,21.0,100576.0,17.18,0.0
1951092418_bqu,1951-09-27 18:00:00,-61.5,23.0,-55.0,31.5,100658.0,15.86,0.0
1951100918_aru,1951-10-20 06:00:00,-45.5,31.0,-40.0,49.0,98834.0,22.36,0.0
1951101318_aaq,1951-10-17 00:00:00,-67.0,30.0,-32.5,42.5,96974.0,25.91,0.0
1951101606_aar,1951-10-19 18:00:00,-44.5,11.0,-55.5,17.0,100350.0,15.02,0.0
