SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1950052718_akn,1950-06-09 00:00:00,-75.0,31.0,-56.0,45.0,99905.0,16.9,0.0
1950060718_avn,1950-06-10 18:00:00,-83.0,15.0,-93.0,14.0,100406.0,12.97,0.0
1950062200_azu,1950-06-27 18:00:00,-72.0,34.0,-62.0,33.0,101051.0,11.26,0.0
1950070106_apk,1950-07-08 06:00:00,-76.0,26.0,-42.0,52.0,98914.0,18.36,0.0
1950080212_avo,1950-08-05 06:00:00,-70.0,36.0,-50.0,37.0,100368.0,15.47,0.0
1950080606_avp,1950-08-09 18:00:00,-13.0,15.0,-27.0,19.0,101059.0,9.37,0.0
1950081318_azv,1950-08-20 00:00:00,-5.0,15.0,-35.0,20.0,101306.0,12.22,0.0
1950081806_apl,1950-08-28 12:00:00,-2.0,16.0,-60.0,37.0,101393.0,14.05,0.0
1950082912_ako,1950-09-02 00:00:00,-29.0,13.0,-42.0,18.0,101502.0,10.25,0.0
1950090212_avr,1950-09-14 00:00:00,-24.0,13.0,-62.0,42.0,100183.0,17.08,0.0
1950090312_akp,1950-09-07 18:00:00,-78.0,29.0,-69.0,38.0,99661.0,16.92,0.0
1950091106_apm,1950-09-15 18:00:00,-29.0,14.0,-46.0,17.0,100826.0,13.81,0.0
1950091212_aaa,1950-09-18 12:00:00,-14.0,15.0,-30.0,18.0,100979.0,15.57,0.0
1950091212_azw,1950-09-15 12:00:00,-15.0,14.0,-23.0,20.0,101039.0,11.57,0.0
1950091618_aab,1950-09-20 12:00:00,-53.0,31.0,-33.0,43.0,99987.0,21.05,0.0
1950091818_apn,1950-09-22 06:00:00,-56.0,24.0,-68.0,29.0,100194.0,17.36,0.0
1950092106_aac,1950-09-24 06:00:00,-20.0,13.0,-39.0,15.0,100391.0,16.81,0.0
1950100206_aad,1950-10-07 00:00:00,-8.0,10.0,-27.0,20.0,100689.0,15.93,0.0
1950100518_akq,1950-10-14 06:00:00,-82.0,17.0,-69.0,39.0,97725.0,21.78,0.0
1950101006_avs,1950-10-14 12:00:00,-82.0,20.0,-73.0,35.0,99642.0,19.89,0.0
1950103000_aae,1950-11-02 06:00:00,-51.0,29.0,-48.0,48.0,98514.0,21.23,0.0
1951081518_avt,1951-08-28 12:00:00,-27.0,15.0,-60.0,45.0,99306.0,21.13,0.0
1951082106_azx,1951-08-25 12:00:00,-4.0,13.0,-23.0,18.0,100681.0,13.71,0.0
1951082512_azy,1951-09-07 00:00:00,-3.0,16.0,-31.0,39.0,100831.0,13.45,0.0
1951090218_apo,1951-09-07 06:00:00,-60.0,29.0,-42.0,59.0,99723.0,16.14,0.0
1951090712_aaj,1951-09-12 18:00:00,-16.0,12.0,-39.0,20.0,99657.0,23.77,0.0
1951090806_akr,1951-09-11 06:00:00,-39.0,15.0,-54.0,19.0,100926.0,15.25,0.0
1951091400_aak,1951-09-21 12:00:00,-40.0,23.0,-45.0,45.0,100109.0,16.65,0.0
1951092500_app,1951-09-28 00:00:00,-15.0,12.0,-25.0,17.0,100922.0,13.73,0.0
1951092606_aks,1951-09-30 00:00:00,-67.0,22.0,-72.0,33.0,100431.0,17.28,0.0
1951100618_azz,1951-10-11 00:00:00,-78.0,18.0,-53.0,34.0,99592.0,18.58,0.0
1951101106_aal,1951-10-26 12:00:00,-20.0,12.0,-33.0,34.0,100056.0,14.73,0.0
1952042106_apq,1952-04-23 12:00:00,-54.0,32.0,-42.0,40.0,98744.0,19.11,0.0
1952070700_avv,1952-07-17 12:00:00,-75.0,26.0,-55.0,40.0,99991.0,16.11,0.0
1952071812_apr,1952-07-22 00:00:00,-82.0,32.0,-61.0,40.0,100915.0,14.58,0.0
1952081500_akt,1952-08-19 06:00:00,-18.0,17.0,-43.0,15.0,100708.0,12.65,0.0
1952081612_avx,1952-08-23 00:00:00,-71.0,31.0,-63.0,44.0,99724.0,19.02,0.0
1952081800_aku,1952-08-22 00:00:00,-45.0,35.0,-57.0,40.0,100901.0,14.64,0.0
1952082806_aan,1952-09-17 12:00:00,-29.0,14.0,-21.0,42.0,99204.0,19.54,0.0
1952082906_baa,1952-09-03 00:00:00,-10.0,15.0,-24.0,21.0,100854.0,12.29,0.0
1952083006_aao,1952-09-02 18:00:00,-7.0,17.0,-16.0,30.0,100931.0,13.69,0.0
1952090206_akw,1952-09-19 06:00:00,-9.0,13.0,-38.0,48.0,99272.0,19.55,0.0
1952090812_avz,1952-09-13 12:00:00,-95.0,20.0,-97.0,28.0,100432.0,12.82,0.0
1952091218_aap,1952-09-16 06:00:00,-16.0,16.0,-29.0,23.0,100558.0,13.93,0.0
