SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1979072206_aaa,1979-07-31 06:00:00,-88.25,24.25,-75.5,35.75,101300.0,11.25,0.0
1979072206_aag,1979-07-31 06:00:00,-88.25,24.25,-75.5,35.75,101300.0,11.25,0.0
1979082606_aab,1979-09-07 12:00:00,-41.5,11.75,-63.5,48.0,98185.0,19.01,0.0
1979082606_aah,1979-09-07 12:00:00,-41.5,11.75,-63.5,48.0,98185.0,19.01,0.0
1979083100_aac,1979-09-03 12:00:00,-39.25,11.75,-63.0,17.5,100720.0,15.48,0.0
1979083100_aai,1979-09-03 12:00:00,-39.25,11.75,-63.0,17.5,100720.0,15.48,0.0
1979090600_aad,1979-09-15 18:00:00,-31.0,19.25,-30.75,44.75,99885.0,18.48,0.0
1979090600_aaj,1979-09-15 18:00:00,-31.0,19.25,-30.75,44.75,99885.0,18.48,0.0
1979111412_aaf,1979-11-17 12:00:00,-84.75,7.5,-97.0,10.0,100702.0,16.99,0.0
1979111412_aal,1979-11-17 12:00:00,-84.75,7.5,-97.0,10.0,100702.0,16.99,0.0
1980081300_aan,1980-08-19 18:00:00,-21.0,13.75,-37.5,49.0,100315.0,19.83,0.0
1980081300_alu,1980-08-19 18:00:00,-21.0,13.75,-37.5,49.0,100315.0,19.83,0.0
1980090306_aao,1980-09-06 00:00:00,-19.0,15.5,-33.25,19.25,101201.0,13.75,0.0
1980090306_alv,1980-09-06 00:00:00,-19.0,15.5,-33.25,19.25,101201.0,13.75,0.0
1980090606_aap,1980-09-20 18:00:00,-19.5,12.75,-34.5,50.25,99276.0,17.22,0.0
1980090606_alw,1980-09-20 18:00:00,-19.5,12.75,-34.5,50.25,99276.0,17.22,0.0
1980110900_aar,1980-11-14 00:00:00,-84.5,17.25,-94.5,25.75,100304.0,15.52,0.0
1980110900_aly,1980-11-14 00:00:00,-84.5,17.25,-94.5,25.75,100304.0,15.52,0.0
1981030400_aas,1981-03-06 06:00:00,-61.25,39.25,-35.5,38.0,97562.0,19.23,0.0
1981030400_alz,1981-03-06 06:00:00,-61.25,39.25,-35.5,38.0,97562.0,19.23,0.0
1981080600_aat,1981-08-09 00:00:00,-20.75,10.0,-39.25,12.0,101006.0,15.05,0.0
1981080600_ama,1981-08-09 00:00:00,-20.75,10.0,-39.25,12.0,101006.0,15.05,0.0
1981081606_aau,1981-08-22 06:00:00,-81.0,23.25,-56.0,38.5,100017.0,22.38,0.0
1981081606_amb,1981-08-22 06:00:00,-81.0,23.25,-56.0,38.5,100017.0,22.38,0.0
1981083000_aav,1981-09-11 06:00:00,-78.25,31.25,-43.0,34.75,101093.0,15.61,0.0
1981083000_amc,1981-09-11 06:00:00,-78.25,31.25,-43.0,34.75,101093.0,15.61,0.0
1981090612_aaw,1981-09-11 06:00:00,-68.75,24.75,-43.0,34.75,101093.0,15.61,0.0
1981090612_amd,1981-09-11 06:00:00,-68.75,24.75,-43.0,34.75,101093.0,15.61,0.0
1981091106_aax,1981-09-13 18:00:00,-72.5,28.25,-55.0,37.5,99865.0,19.87,0.0
1981091106_ame,1981-09-13 18:00:00,-72.5,28.25,-55.0,37.5,99865.0,19.87,0.0
1981091206_aay,1981-09-19 06:00:00,-51.5,17.25,-41.0,38.5,100341.0,17.21,0.0
1981091206_amf,1981-09-19 06:00:00,-51.5,17.25,-41.0,38.5,100341.0,17.21,0.0
1981092312_aaz,1981-10-03 06:00:00,-42.25,13.0,-4.5,43.5,98812.0,19.56,0.0
1981092312_amg,1981-10-03 06:00:00,-42.25,13.0,-4.5,43.5,98812.0,19.56,0.0
1981110418_aba,1981-11-07 18:00:00,-81.5,18.75,-65.0,27.0,100176.0,19.47,0.0
1981110418_amh,1981-11-07 18:00:00,-81.5,18.75,-65.0,27.0,100176.0,19.47,0.0
1981111400_abb,1981-11-18 06:00:00,-69.75,34.0,-60.0,47.75,99927.0,13.82,0.0
1981111400_ami,1981-11-18 06:00:00,-69.75,34.0,-60.0,47.75,99927.0,13.82,0.0
1982082706_abc,1982-08-31 18:00:00,-26.75,9.5,-40.5,16.75,100646.0,14.75,0.0
1982082706_amj,1982-08-31 18:00:00,-26.75,9.5,-40.5,16.75,100646.0,14.75,0.0
1982091406_abd,1982-09-20 18:00:00,-72.0,22.5,-19.5,49.75,99473.0,15.56,0.0
1982091406_amk,1982-09-20 18:00:00,-72.0,22.5,-19.5,49.75,99473.0,15.56,0.0
1982112100_abe,1982-11-24 00:00:00,-59.25,21.25,-63.5,35.25,99914.0,11.29,0.0
1982112100_aml,1982-11-24 00:00:00,-59.25,21.25,-63.5,35.25,99914.0,11.29,0.0
1983021818_abf,1983-02-21 12:00:00,-67.75,36.0,-52.0,38.5,98514.0,23.56,0.0
