SID,ISO_TIME,LAT,LON,WIND,PRES,GEN_LAT,GEN_LON,LANDFRAC
1851187N22262,1851-07-05 12:00:00,22.2,-97.6,80.0,,22.2,-97.6,0.0
1851187N22262,1851-07-05 12:00:00,22.2,-97.6,80.0,,22.2,-97.6,0.0
1851192N12300,1851-07-10 12:00:00,12.0,-60.0,50.0,,12.0,-60.0,0.0
1851192N12300,1851-07-10 12:00:00,12.0,-60.0,50.0,,12.0,-60.0,0.0
1851214N14321,1851-08-07 12:00:00,17.1,-63.0,,,13.5,-39.0,0.0
1851214N14321,1851-08-07 12:00:00,17.1,-63.0,,,13.5,-39.0,0.0
1851228N13313,1851-08-28 06:00:00,54.5,-46.0,40.0,,13.3667,-47.2,0.0
1851228N13313,1851-08-28 06:00:00,54.5,-46.0,40.0,,13.3667,-47.2,0.0
1851241N27280,1851-09-04 12:00:00,35.1,-74.7,,,27.0,-80.0,0.0
1851241N27280,1851-09-04 12:00:00,35.1,-74.7,,,27.0,-80.0,0.0
1851250N20278,1851-09-08 12:00:00,26.8,-78.2,,,20.0,-82.0,0.0
1851250N20278,1851-09-08 12:00:00,26.8,-78.2,,,20.0,-82.0,0.0
1851254N34316,1851-09-12 18:00:00,46.6,-34.7,,,34.2,-44.2,0.0
1851254N34316,1851-09-12 18:00:00,46.6,-34.7,,,34.2,-44.2,0.0
1851256N33287,1851-09-16 18:00:00,32.5,-73.5,50.0,,32.5,-73.5,0.0
1851256N33287,1851-09-16 18:00:00,32.5,-73.5,50.0,,32.5,-73.5,0.0
1851260N32298,1851-09-27 12:00:00,40.0,-68.0,,,31.5,-62.5,0.0
1851260N32298,1851-09-27 12:00:00,40.0,-68.0,,,31.5,-62.5,0.0
1851283N24298,1851-10-14 12:00:00,49.8,-60.5,,,23.7,-61.6,0.0
1851283N24298,1851-10-14 12:00:00,49.8,-60.5,,,23.7,-61.6,0.0
1851309N19282,1851-11-19 12:00:00,35.5,-30.9,,,19.1,-77.6,0.0
1851309N19282,1851-11-19 12:00:00,35.5,-30.9,,,19.1,-77.6,0.0
1852232N21293,1852-08-30 00:00:00,41.0,-68.0,50.0,961.0,20.6333,-67.3333,0.0
1852232N21293,1852-08-30 00:00:00,41.0,-68.0,50.0,961.0,20.6333,-67.3333,0.0
1852241N34278,1852-08-31 12:00:00,44.7,-66.0,,,33.6,-82.5,0.0
1852241N34278,1852-08-31 12:00:00,44.7,-66.0,,,33.6,-82.5,0.0
1852247N14309,1852-09-16 18:00:00,35.8,-26.0,70.0,,14.0,-51.2,0.0
1852247N14309,1852-09-16 18:00:00,35.8,-26.0,70.0,,14.0,-51.2,0.0
