SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1958080818_aaa,1958-08-17 06:00:00,-23.75,15.0,-67.5,37.5,99922.0,20.58,0.0
1958081112_aab,1958-08-21 06:00:00,-23.75,10.0,-30.0,45.0,100276.0,17.0,0.0
1958082218_aac,1958-08-26 12:00:00,-23.75,15.0,-38.75,20.0,100915.0,13.95,0.0
1958082500_aad,1958-08-31 12:00:00,-76.25,26.25,-42.5,41.25,100075.0,19.45,0.0
1958090518_aaf,1958-09-13 06:00:00,-52.5,12.5,-58.75,32.5,101009.0,13.86,0.0
1958092306_aag,1958-09-30 06:00:00,-66.25,22.5,-48.75,52.5,97250.0,29.88,0.0
1958092412_aah,1958-09-30 06:00:00,-52.5,16.25,-46.25,42.5,99445.0,31.54,0.0
1958100506_aai,1958-10-13 06:00:00,-81.25,20.0,-22.5,48.75,100147.0,17.85,0.0
1959090300_aak,1959-09-09 06:00:00,-32.5,13.75,-58.75,13.75,100734.0,10.72,0.0
1959090812_aal,1959-09-13 06:00:00,-66.25,32.5,-53.75,45.0,99432.0,18.62,0.0
1959092812_aan,1959-10-09 06:00:00,-52.5,27.5,-37.5,61.25,95608.0,29.79,0.0
1959100412_aao,1959-10-09 18:00:00,-27.5,12.5,-51.25,17.5,100549.0,17.76,0.0
1959101712_aap,1959-10-23 06:00:00,-86.25,21.25,-47.5,32.5,101172.0,18.93,0.0
1960081800_aar,1960-08-21 12:00:00,-75.0,26.25,-55.0,43.75,100622.0,16.73,0.0
1960100212_aau,1960-10-05 12:00:00,-28.75,12.5,-45.0,17.5,101262.0,12.88,0.0
1961090212_aaw,1961-09-15 12:00:00,-42.5,13.75,-31.25,58.75,97435.0,21.87,0.0
1961090600_aay,1961-09-15 12:00:00,-18.75,15.0,-23.75,40.0,99297.0,27.36,0.0
1961091000_aaz,1961-09-30 12:00:00,-26.25,12.5,-13.75,55.0,97626.0,29.22,0.0
1961101612_abb,1961-10-20 00:00:00,-78.75,18.75,-70.0,33.75,99329.0,16.33,0.0
1961102712_abc,1961-11-01 12:00:00,-81.25,12.5,-93.75,15.0,100416.0,15.46,0.0
1961110712_abd,1961-11-10 00:00:00,-52.5,28.75,-45.0,36.25,99697.0,14.11,0.0
1962082712_abe,1962-09-02 00:00:00,-80.0,30.0,-65.0,40.0,100935.0,13.99,0.0
1962082712_abf,1962-09-01 12:00:00,-18.75,16.25,-16.25,42.5,101410.0,14.63,0.0
1962091306_abg,1962-09-21 00:00:00,-51.25,16.25,-55.0,33.75,101421.0,12.56,0.0
1962092600_abh,1962-09-29 12:00:00,-30.0,13.75,-42.5,15.0,101163.0,13.41,0.0
1962093006_abi,1962-10-09 06:00:00,-56.25,15.0,-55.0,46.25,99001.0,16.49,0.0
1962101306_abj,1962-10-16 00:00:00,-22.5,11.25,-30.0,17.5,101019.0,13.22,0.0
1962101606_abk,1962-10-24 18:00:00,-72.5,26.25,-20.0,56.25,98294.0,23.62,0.0
1963080118_abl,1963-08-12 00:00:00,-45.0,11.25,-42.5,47.5,100337.0,17.66,0.0
1963082018_abm,1963-08-29 00:00:00,-51.25,13.75,-31.25,55.0,99208.0,19.25,0.0
1963091006_abn,1963-09-14 12:00:00,-66.25,30.0,-37.5,50.0,100039.0,18.58,0.0
1963092000_abo,1963-09-25 00:00:00,-42.5,16.25,-46.25,38.75,100596.0,19.08,0.0
1963092406_abp,1963-09-29 06:00:00,-56.25,12.5,-72.5,23.75,100573.0,12.55,0.0
1963092800_abq,1963-10-16 06:00:00,-43.75,8.75,-35.0,63.75,96912.0,25.3,0.0
1963101900_abr,1963-10-30 06:00:00,-71.25,28.75,-63.75,48.75,98477.0,16.83,0.0
1964060812_abs,1964-06-11 12:00:00,-72.5,35.0,-55.0,38.75,99934.0,12.53,0.0
1964072906_abt,1964-08-02 18:00:00,-55.0,21.25,-42.5,47.5,100038.0,20.54,0.0
1964080806_abu,1964-08-11 12:00:00,-66.25,32.5,-50.0,38.75,101368.0,15.86,0.0
1964082100_abv,1964-09-07 18:00:00,-47.5,12.5,-42.5,52.5,100172.0,16.99,0.0
1964082900_abw,1964-09-14 18:00:00,-21.25,12.5,-68.75,40.0,99470.0,23.47,0.0
1964090412_abx,1964-09-17 06:00:00,-37.5,17.5,-22.5,43.75,101533.0,15.31,0.0
1964090600_aby,1964-09-10 06:00:00,-20.0,16.25,-26.25,33.75,100507.0,15.76,0.0
1964091312_abz,1964-09-24 18:00:00,-46.25,15.0,-61.25,45.0,98830.0,22.21,0.0
1964092912_aca,1964-10-05 18:00:00,-85.0,21.25,-81.25,31.25,100496.0,15.69,0.0
1964101006_acb,1964-10-16 00:00:00,-85.0,17.5,-76.25,32.5,99281.0,19.14,0.0
1965082112_acc,1965-08-25 18:00:00,-52.5,32.5,-35.0,48.75,100140.0,22.37,0.0
1965091612_ace,1965-10-01 12:00:00,-21.25,12.5,-16.25,38.75,99927.0,18.31,0.0
1965092912_acf,1965-10-03 00:00:00,-70.0,32.5,-53.75,40.0,99775.0,18.84,0.0
1965101306_acg,1965-10-19 00:00:00,-51.25,20.0,-35.0,41.25,98069.0,24.51,0.0
1966060506_ach,1966-06-14 12:00:00,-85.0,16.25,-70.0,42.5,101057.0,13.22,0.0
1966072400_aci,1966-07-30 06:00:00,-42.5,32.5,-37.5,46.25,100299.0,18.13,0.0
1966072418_acj,1966-07-29 18:00:00,-52.5,16.25,-71.25,27.5,101422.0,14.05,0.0
1966082106_ack,1966-09-05 18:00:00,-22.5,12.5,-18.75,58.75,96581.0,27.62,0.0
