SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1980052906_aaa,1980-06-03 00:00:00,-22.5,4.5,-46.88,6.0,101032.0,13.73,0.0
1980082106_aac,1980-08-30 00:00:00,-78.75,9.0,-117.5,16.0,100466.0,17.9,0.0
1981090306_aah,1981-09-12 00:00:00,-65.0,35.0,-40.620000000000005,43.0,100574.0,11.47,0.0
1981091400_aai,1981-09-18 18:00:00,-62.5,24.5,-45.0,38.5,100760.0,15.31,0.0
1982092100_aak,1982-09-23 18:00:00,-83.12,8.5,-95.62,14.0,100702.0,16.15,0.0
1982101006_aal,1982-10-15 12:00:00,-65.62,38.5,-29.379999999999995,46.5,97074.0,27.12,0.0
1982102618_aam,1982-10-30 06:00:00,-81.25,9.0,-94.38,9.0,100530.0,12.79,0.0
1983072818_aan,1983-08-01 18:00:00,-42.5,10.0,-56.88,11.5,101098.0,15.69,0.0
1983090918_aao,1983-09-13 18:00:00,-8.75,8.5,-27.5,16.0,100802.0,13.96,0.0
1984072900_aap,1984-08-03 12:00:00,-32.5,11.5,-55.620000000000005,14.5,100952.0,17.09,0.0
1984081912_aaq,1984-09-05 00:00:00,-83.75,9.5,-121.88,19.5,100123.0,11.61,0.0
1984082618_aar,1984-09-05 06:00:00,-35.0,8.5,-40.0,32.5,101412.0,13.2,0.0
1984091506_aas,1984-09-18 06:00:00,-16.25,13.0,-29.379999999999995,20.0,100812.0,15.41,0.0
1984102400_aat,1984-11-02 12:00:00,-82.5,8.5,-111.88,14.5,100547.0,13.53,0.0
1984110706_aau,1984-11-14 00:00:00,-65.62,18.5,-45.0,43.5,98751.0,20.09,0.0
1985081700_aav,1985-08-23 06:00:00,-81.88,8.5,-105.0,13.0,100714.0,11.18,0.0
1985081812_aaw,1985-09-04 06:00:00,-81.25,8.5,-116.88,18.0,100924.0,11.71,0.0
1985091418_aax,1985-09-18 00:00:00,-11.25,10.5,-31.25,15.5,101178.0,12.87,0.0
1986082318_aay,1986-08-28 18:00:00,-58.120000000000005,34.0,-29.379999999999995,42.0,101408.0,10.13,0.0
1986091918_aaz,1986-09-24 06:00:00,-23.75,10.0,-38.120000000000005,12.0,100966.0,12.87,0.0
1986092618_aba,1986-09-29 18:00:00,-84.38,9.5,-96.25,14.5,100406.0,17.77,0.0
1986100606_abb,1986-10-13 12:00:00,-99.38,19.5,-112.5,15.0,100694.0,8.32,0.0
1987072712_abd,1987-08-09 00:00:00,-84.38,9.5,-123.12,22.0,100744.0,8.13,0.0
1987090806_abf,1987-09-15 06:00:00,-16.25,11.0,-41.88,17.5,100265.0,16.61,0.0
1988070300_abg,1988-07-07 18:00:00,-72.5,6.5,-95.62,13.5,100814.0,10.93,0.0
1988082400_abi,1988-08-30 18:00:00,-81.88,11.0,-100.0,16.5,100244.0,13.73,0.0
1989082400_abl,1989-08-27 18:00:00,-10.620000000000005,13.5,-24.379999999999995,18.5,100678.0,13.51,0.0
1989083100_abm,1989-09-14 00:00:00,-27.5,10.5,-41.25,49.5,99842.0,17.46,0.0
1989100306_abn,1989-10-09 06:00:00,-29.379999999999995,5.5,-51.88,10.0,100610.0,15.06,0.0
1989102412_abo,1989-10-28 18:00:00,-66.25,30.0,-35.0,45.5,96904.0,26.11,0.0
1989103112_abp,1989-11-04 00:00:00,-46.25,26.5,-54.38,38.0,100636.0,16.08,0.0
1990082406_abr,1990-08-28 00:00:00,-41.88,11.0,-43.75,21.5,100938.0,15.2,0.0
1990090912_abs,1990-09-17 12:00:00,-43.120000000000005,28.0,-39.38,50.0,100315.0,17.66,0.0
1990091918_abt,1990-09-25 12:00:00,-26.879999999999995,11.5,-35.620000000000005,20.0,100185.0,17.87,0.0
1990100106_abu,1990-10-05 00:00:00,-44.38,13.0,-55.0,19.0,100840.0,15.25,0.0
1990100306_abv,1990-10-06 12:00:00,-40.0,29.5,-43.120000000000005,39.0,99853.0,16.36,0.0
1992091818_aby,1992-10-01 12:00:00,-57.5,34.5,-21.25,39.0,100691.0,11.81,0.0
1992092212_abz,1992-09-28 18:00:00,-34.379999999999995,32.0,-15.620000000000005,47.0,98686.0,19.0,0.0
1992092418_aca,1992-09-29 12:00:00,-30.620000000000005,8.0,-46.25,20.0,100647.0,14.78,0.0
1993052406_acb,1993-05-31 12:00:00,-83.75,10.0,-83.75,20.5,99887.0,12.31,0.0
1993062006_acc,1993-06-30 12:00:00,-96.88,26.5,-108.75,21.5,100311.0,12.56,0.0
1993070618_acd,1993-07-09 00:00:00,-30.0,7.0,-41.25,11.5,101044.0,13.27,0.0
1993073100_ace,1993-08-02 18:00:00,-13.120000000000005,10.5,-23.75,11.0,101182.0,11.49,0.0
1993082212_acf,1993-08-25 00:00:00,-25.620000000000005,13.5,-35.620000000000005,16.5,101139.0,10.25,0.0
1993091306_ach,1993-09-23 06:00:00,-72.5,7.0,-111.88,23.0,100587.0,9.97,0.0
1994092406_aci,1994-09-29 06:00:00,-83.75,14.5,-93.12,14.5,100600.0,14.19,0.0
1994110312_acj,1994-11-07 18:00:00,-51.88,25.0,-53.120000000000005,35.5,100323.0,16.24,0.0
1995072706_ack,1995-08-06 18:00:00,-83.75,10.0,-120.62,20.0,100586.0,8.94,0.0
1995080712_acl,1995-08-23 00:00:00,-27.5,14.5,-42.5,51.0,98892.0,17.47,0.0
1995082806_acm,1995-09-04 18:00:00,-61.88,18.0,-41.25,46.5,100255.0,16.94,0.0
1995082912_acn,1995-09-13 12:00:00,-31.879999999999995,12.0,-37.5,62.0,98865.0,17.18,0.0
1995091500_aco,1995-09-26 12:00:00,-61.25,15.5,-53.75,31.5,100924.0,10.59,0.0
1995091718_acp,1995-09-20 12:00:00,-10.620000000000005,10.0,-16.25,18.0,101025.0,11.12,0.0
1995092606_acr,1995-10-01 00:00:00,-37.5,10.0,-40.0,19.5,100153.0,20.85,0.0
1995100212_acs,1995-10-05 18:00:00,-40.0,22.0,-40.620000000000005,32.5,100312.0,15.81,0.0
1995102912_acu,1995-11-02 18:00:00,-55.620000000000005,31.0,-22.5,47.5,98234.0,21.7,0.0
1996070606_acw,1996-07-15 06:00:00,-46.25,13.5,-48.75,51.0,99840.0,18.74,0.0
1996072506_acx,1996-08-05 18:00:00,-72.5,6.5,-129.38,22.5,100843.0,12.4,0.0
1996082412_acy,1996-08-31 00:00:00,-28.75,14.5,-61.25,20.5,100626.0,12.91,0.0
1996082500_acz,1996-09-06 18:00:00,-45.620000000000005,15.0,-41.25,51.0,98249.0,23.78,0.0
1996090800_ada,1996-09-16 00:00:00,-61.25,15.0,-51.88,45.5,99989.0,15.1,0.0
1997082300_add,1997-08-26 12:00:00,-12.5,11.5,-23.75,16.0,101126.0,9.65,0.0
1997083112_ade,1997-09-03 12:00:00,-30.620000000000005,10.5,-41.88,12.0,100860.0,13.09,0.0
1997090518_adf,1997-09-20 00:00:00,-57.5,18.5,-15.620000000000005,49.0,100812.0,10.9,0.0
1998042812_adh,1998-05-04 00:00:00,-84.38,4.0,-94.38,6.5,100708.0,10.59,0.0
1998082112_adj,1998-08-28 12:00:00,-93.75,24.5,-128.12,20.5,100516.0,12.2,0.0
1998082918_adk,1998-09-06 18:00:00,-70.0,26.0,-16.879999999999995,54.0,96897.0,21.18,0.0
1998092112_adm,1998-09-24 00:00:00,-18.120000000000005,12.5,-31.879999999999995,15.0,100739.0,13.87,0.0
1998092112_adn,1998-09-28 00:00:00,-57.5,34.5,-34.379999999999995,41.5,99843.0,19.6,0.0
1998102112_ado,1998-11-06 06:00:00,-75.62,12.5,-71.88,32.0,98410.0,26.1,0.0
1999081918_adq,1999-08-22 12:00:00,-21.879999999999995,14.0,-32.5,14.5,100493.0,12.25,0.0
1999082412_adr,1999-09-02 06:00:00,-40.620000000000005,17.5,-43.75,42.0,98995.0,20.3,0.0
1999090700_adt,1999-09-18 12:00:00,-41.25,14.5,-62.5,46.5,99310.0,17.04,0.0
1999091118_adu,1999-09-23 12:00:00,-26.25,12.5,-51.88,47.0,97785.0,24.8,0.0
