SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1952103018_aaa,1952-11-10 12:00:00,-77.81,13.56,-70.31,24.78,99933.0,15.09,0.0
1953091318_aab,1953-09-18 00:00:00,-43.120000000000005,14.49,-52.5,27.58,100152.0,17.85,0.0
1964080900_aac,1964-08-17 00:00:00,-19.69000000000005,18.23,-71.25,31.32,100235.0,18.58,0.0
1964082018_aad,1964-08-28 06:00:00,-18.75,16.36,-52.5,36.0,100279.0,16.82,0.0
1967100818_aae,1967-10-16 00:00:00,-76.88,16.36,-95.62,20.1,100302.0,18.81,0.0
1969110212_aaf,1969-11-07 06:00:00,-79.69,13.56,-87.19,22.91,100587.0,13.61,0.0
1971081306_aag,1971-08-16 12:00:00,-28.120000000000005,14.49,-51.56,23.84,100905.0,15.79,0.0
1972090406_aah,1972-09-06 12:00:00,-42.19,16.36,-52.5,25.71,100885.0,14.05,0.0
1976081900_aai,1976-08-24 00:00:00,-23.44000000000005,13.56,-44.06,31.32,101125.0,12.97,0.0
1978091106_aaj,1978-09-17 00:00:00,-49.69,16.36,-75.94,29.45,100563.0,17.67,0.0
1979052218_aak,1979-05-26 18:00:00,-70.31,32.26,-66.56,40.68,99101.0,18.47,0.0
1979102006_aal,1979-10-26 06:00:00,-78.75,13.56,-86.25,20.1,100715.0,9.06,0.0
1980090606_aam,1980-09-10 06:00:00,-27.19000000000005,13.56,-52.5,20.1,100954.0,12.58,0.0
1984091412_aan,1984-09-18 18:00:00,-36.56,12.62,-56.25,23.84,100540.0,14.04,0.0
1984110806_aao,1984-11-15 12:00:00,-79.69,13.56,-87.19,18.23,100650.0,14.38,0.0
1989082912_aap,1989-09-06 00:00:00,-19.69000000000005,17.3,-47.81,23.84,100483.0,15.95,0.0
1992050218_aaq,1992-05-06 06:00:00,-82.5,20.1,-87.19,28.52,100671.0,12.41,0.0
1992100206_aar,1992-10-11 12:00:00,-80.62,13.56,-77.81,25.71,99713.0,16.43,0.0
1995083106_aas,1995-09-04 12:00:00,-26.25,14.49,-39.38,21.04,101116.0,8.76,0.0
1995090306_aat,1995-09-13 18:00:00,-15.940000000000056,15.43,-43.120000000000005,45.35,100597.0,15.39,0.0
1999101606_aau,1999-10-23 12:00:00,-79.69,14.49,-84.38,25.71,99804.0,14.26,0.0
2000072306_aav,2000-07-29 00:00:00,-63.75,25.71,-65.62,36.0,100890.0,13.89,0.0
2002082000_aax,2002-08-23 06:00:00,-31.879999999999995,16.36,-55.31,20.1,101033.0,12.73,0.0
2007100718_aay,2007-10-17 18:00:00,-80.62,13.56,-84.38,21.04,100306.0,13.03,0.0
2010102606_aaz,2010-10-30 12:00:00,-78.75,16.36,-74.06,24.78,99367.0,20.4,0.0
2011100712_aba,2011-10-11 00:00:00,-79.69,16.36,-76.88,26.65,99598.0,16.28,0.0
2011100812_abb,2011-10-12 12:00:00,-31.879999999999995,13.56,-44.06,18.23,100525.0,12.73,0.0
2012083006_abc,2012-09-05 12:00:00,-41.25,20.1,-60.0,34.13,100220.0,18.83,0.0
2013083012_abd,2013-09-02 12:00:00,-42.19,30.39,-43.120000000000005,38.81,101397.0,13.24,0.0
