SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1952082206_aaa,1952-08-27 12:00:00,-41.72000000000003,15.21,-66.08999999999997,31.13,101021.0,14.42,0.0
1952092100_aab,1952-09-29 06:00:00,-36.089999999999975,13.81,-59.06,32.07,99646.0,17.77,0.0
1952100900_aac,1952-10-12 06:00:00,-77.81,16.62,-76.41000000000003,28.32,100214.0,16.65,0.0
1954091506_aad,1954-09-19 12:00:00,-37.02999999999997,12.41,-55.31,21.77,100930.0,14.13,0.0
1954101318_aae,1954-10-23 06:00:00,-85.31,19.43,-70.77999999999997,39.09,98885.0,21.14,0.0
1955101606_aaf,1955-10-23 00:00:00,-76.88,14.28,-83.44,26.92,99803.0,16.55,0.0
1963110206_aag,1963-11-16 18:00:00,-79.69,13.34,-57.660000000000025,27.39,99400.0,18.54,0.0
1964110206_aah,1964-11-08 00:00:00,-79.22000000000003,11.94,-69.83999999999997,21.3,100203.0,14.43,0.0
1971101112_aai,1971-10-15 18:00:00,-51.089999999999975,29.26,-23.91000000000008,52.2,99336.0,20.09,0.0
1975082100_aak,1975-09-02 12:00:00,-18.75,18.02,-42.660000000000025,47.98,99317.0,17.02,0.0
1976083006_aal,1976-09-04 06:00:00,-22.970000000000027,18.49,-45.94,25.51,100703.0,12.58,0.0
1979082800_aan,1979-09-05 00:00:00,-25.309999999999945,16.15,-61.88,30.2,100839.0,17.64,0.0
1986101606_aao,1986-10-21 06:00:00,-65.62,22.24,-96.08999999999996,21.77,100715.0,13.14,0.0
1987103118_aap,1987-11-05 00:00:00,-66.56,35.34,-35.620000000000005,42.83,95546.0,34.82,0.0
1989081300_aaq,1989-08-15 18:00:00,-26.25,15.21,-33.27999999999997,19.9,100716.0,9.88,0.0
1990082900_aas,1990-09-05 06:00:00,-17.339999999999918,16.62,-48.75,26.92,100806.0,13.45,0.0
1995082412_aat,1995-08-27 06:00:00,-26.720000000000027,14.75,-35.160000000000025,18.02,100940.0,12.02,0.0
1995100100_aau,1995-10-13 00:00:00,-79.22000000000003,14.75,-93.75,22.7,100402.0,10.84,0.0
1995102818_aav,1995-11-03 12:00:00,-80.62,12.41,-87.19,17.56,100602.0,16.67,0.0
1999102200_aaw,1999-10-30 06:00:00,-79.22000000000003,16.62,-71.72000000000003,23.64,100340.0,11.26,0.0
2000081806_aax,2000-08-25 12:00:00,-44.06,12.87,-66.56,36.28,100684.0,16.08,0.0
2003021806_aay,2003-02-20 18:00:00,-32.81,34.41,-16.410000000000082,33.94,99528.0,14.24,0.0
2003091106_aaz,2003-09-13 12:00:00,-23.44000000000005,16.15,-34.69,17.56,100867.0,11.17,0.0
2005012006_aba,2005-01-23 00:00:00,-54.839999999999975,39.56,-32.339999999999975,39.09,99154.0,18.5,0.0
2005110106_abb,2005-11-04 06:00:00,-76.88,13.34,-85.31,23.64,100556.0,10.0,0.0
2007050706_abd,2007-05-12 00:00:00,-73.58999999999997,32.07,-45.47000000000003,48.92,100361.0,15.29,0.0
2007100718_abe,2007-10-12 12:00:00,-80.16000000000003,13.81,-73.12,24.11,99683.0,14.93,0.0
2007102206_abf,2007-10-29 12:00:00,-82.97000000000003,18.02,-67.02999999999997,28.32,99467.0,17.01,0.0
2008081918_abg,2008-08-23 18:00:00,-53.44,19.9,-71.72000000000003,29.73,101109.0,16.14,0.0
2008091600_abh,2008-09-19 12:00:00,-94.69,19.9,-90.0,27.85,100153.0,12.88,0.0
2008111600_abi,2008-11-20 00:00:00,-79.22000000000003,11.47,-93.27999999999996,11.47,100663.0,15.23,0.0
2011101612_abj,2011-10-21 06:00:00,-24.379999999999995,12.41,-38.44,13.81,100357.0,12.4,0.0
2012080618_abk,2012-08-15 18:00:00,-25.309999999999945,15.68,-68.44,39.56,100556.0,16.71,0.0
2012082000_abl,2012-08-27 06:00:00,-44.52999999999997,15.21,-60.0,44.71,99568.0,24.01,0.0
2012082518_abm,2012-09-03 06:00:00,-25.779999999999973,14.75,-58.120000000000005,31.13,100599.0,15.17,0.0
